schedule_family,scheduler,n_steps,dataset_group,size_group,scheduler_label,scheduler_variant_label,metric,metric_label,direction,mean,ci95,n
condmarg,entropic,5,All,Short,Entropic,Entropic · cond-marg,diversity,Diversity,higher,2.9869492693380875,0.7825902360801212,55
condmarg,entropic,5,All,Short,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,2.9869492693380875,0.7825902360801212,55
condmarg,entropic,5,All,Short,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,55
condmarg,entropic,5,All,Short,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,0.7887681504584511,0.006061058622072544,55
condmarg,entropic,5,All,Short,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,80.56400545640422,2.6224238960306,55
condmarg,entropic_log1p,5,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,92.07973129966042,1.515317930904985,55
condmarg,entropic_log1p,5,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,5.34655342318795,0.8272720974513678,55
condmarg,entropic_log1p,5,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,5.34655342318795,0.8272720974513678,55
condmarg,entropic_log1p,5,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,55
condmarg,entropic_log1p,5,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,0.7836883506166156,0.0055204706106106605,55
condmarg,entropic_log1p,5,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,80.07283220464535,2.7240806253044285,55
condmarg,entropic,10,All,Short,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,78.7910000887784,3.4239296219671616,55
condmarg,entropic,10,All,Short,Entropic,Entropic · cond-marg,diversity,Diversity,higher,2.765488972447135,0.7444416705174339,55
condmarg,entropic,10,All,Short,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,2.765488972447135,0.7444416705174339,55
condmarg,entropic,10,All,Short,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,55
condmarg,entropic,10,All,Short,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,1.5772770233473488,0.0103737752598058,55
condmarg,entropic,10,All,Short,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,79.49997593793002,2.8472167755973237,55
condmarg,entropic_log1p,10,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,96.06936472112483,0.618757886981108,55
condmarg,entropic_log1p,10,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,6.118948758732189,0.9009831016311564,55
condmarg,entropic_log1p,10,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,6.118948758732189,0.9009831016311564,55
