id,model,scheduler,n_steps,mode,seed,domain,n_samples,infer_seconds,fid,fid_backend,fid_pixel,fid_inception,fid_inception_error,sample_mean,sample_std,scheduler_base,entropy_variant,entropy_mode,entropy_rate_source,entropy_seconds,sampling_seconds,sigma_lt_1_count,sigma_lt_0p1_count,sigma_max_jump,sigma_last_jump,rank_seed,experiment_path,dataset,dataset_path,batch_index,sample_name,seq_len,protein_size_bin,schedule_group,requested_entropy_mode,sample_index,infer_seconds_per_output,rmsd_mean,rmsd_std,diversity,plddt_mean,plddt_std,invalid_structures,n_outputs,entropy_curve_mode,tm_score,n_preds_tm,run_id
edm_linear_5_ode_heun_42,edm,linear,5,ode_heun,42,image,64.0,0.7408505110070109,200.7721617661553,clean-fid+pixel,0.2634693086147308,200.7721617661553,,-0.0392330139875412,0.7978469729423523,linear,,,,0.0,0.7408505110070109,3.0,2.0,70.39100452814854,-0.0146510641480374,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_10_ode_heun_2718,edm,linear,10,ode_heun,2718,image,64.0,0.5270976824685931,173.55179286959657,clean-fid+pixel,0.0307026300579309,173.55179286959657,,-0.075492225587368,0.5986337661743164,linear,,,,0.0,0.5270976824685931,6.0,4.0,52.27420627379414,-0.0037707996236288,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_5_ode_heun_123,edm,cosine,5,ode_heun,123,image,64.0,0.2501465873792767,237.8152620062968,clean-fid+pixel,0.4006627202033996,237.8152620062968,,-0.041708767414093,0.867680013179779,cosine,,,,0.0,0.2501465873792767,3.0,3.0,50.468436843202014,-0.0038504790137986,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_25_ode_heun_7,edm,cosine,25,ode_heun,7,image,64.0,1.3713179621845484,166.48415403049958,clean-fid+pixel,0.0018288290593773,166.48415403049958,,-0.0429687984287738,0.5120121836662292,cosine,,,,0.0,1.3713179621845484,14.0,11.0,13.503511527100189,-0.0001184551871679,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_5_ode_heun_314,edm,sigmoid,5,ode_heun,314,image,64.0,0.2507309606298804,354.33877418016345,clean-fid+pixel,2.70013165473938,354.33877418016345,,-0.0582797974348068,1.4504244327545166,sigmoid,,,,0.0,0.2507309606298804,3.0,3.0,54.893352488844336,-0.0005858513432661,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_25_ode_heun_42,edm,sigmoid,25,ode_heun,42,image,64.0,1.3553940253332255,177.4682010552912,clean-fid+pixel,0.0072940150275826,177.4682010552912,,-0.0301377922296524,0.5475879907608032,sigmoid,,,,0.0,1.3553940253332255,14.0,12.0,13.099075500722076,-3.2577603226483735e-05,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_5_ode_heun_2718,edm,entropic,5,ode_heun,2718,image,64.0,0.250459355302155,322.4634331554236,clean-fid+pixel,0.156227096915245,322.4634331554236,,-0.070081852376461,0.2778429388999939,entropic,control,empirical_hutchinson,,0.0,0.250459355302155,1.0,1.0,19.328250283710062,-13.813612056596028,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_25_ode_heun_123,edm,entropic,25,ode_heun,123,image,64.0,1.3561581810936332,227.98098943466752,clean-fid+pixel,0.0219496637582778,227.98098943466752,,-0.0483902357518672,0.4177323281764984,entropic,control,empirical_hutchinson,,0.0,1.3561581810936332,1.0,1.0,4.304633940989135,-2.64250450335594,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_10_ode_heun_7,edm,entropic_log1p,10,ode_heun,7,image,64.0,0.5311287445947528,167.83806303639017,clean-fid+pixel,0.0057857083156704,167.83806303639017,,-0.0434461236000061,0.5390718579292297,entropic,log1p,empirical_hutchinson,,0.0,0.5311287445947528,5.0,3.0,40.84847011004621,-0.009205488877502,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_25_ode_heun_314,edm,entropic_log1p,25,ode_heun,314,image,64.0,1.3558041164651513,170.21599043068176,clean-fid+pixel,0.0019312914228066,170.21599043068176,,-0.0405519418418407,0.4912373423576355,entropic,log1p,empirical_hutchinson,,0.0,1.3558041164651513,12.0,7.0,19.735441185228822,-0.0015683303529238,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_power_2_10_ode_heun_42,edm,power_2,10,ode_heun,42,image,64.0,0.5267097167670727,193.70435065740887,clean-fid+pixel,0.1794308573007583,193.70435065740887,,-0.0365022420883178,0.745798647403717,power_2,,,,0.0,0.5267097167670727,8.0,7.0,69.31686814509338,-0.0002235689227249,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_power_2_25_ode_heun_2718,edm,power_2,25,ode_heun,2718,image,64.0,1.3561858022585511,169.66681515664334,clean-fid+pixel,0.0130687225610017,169.66681515664334,,-0.0725936889648437,0.5619713068008423,power_2,,,,0.0,1.3561858022585511,20.0,16.0,45.14312221782816,-3.4198321630158745e-05,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_5_ode_heun_123,edm,linear,5,ode_heun,123,image,64.0,0.7327326713129878,197.94712480768897,clean-fid+pixel,0.2304591089487075,197.94712480768897,,-0.0733603164553642,0.7775973081588745,linear,,,,0.0,0.7327326713129878,3.0,2.0,70.39100452814854,-0.0146510641480374,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_25_ode_heun_7,edm,linear,25,ode_heun,7,image,64.0,1.3689005337655544,166.8971062123016,clean-fid+pixel,0.0016196527285501,166.8971062123016,,-0.0426212958991527,0.5076348781585693,linear,,,,0.0,1.3689005337655544,15.0,10.0,27.63904157764376,-0.0010557118284467,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_5_ode_heun_314,edm,cosine,5,ode_heun,314,image,64.0,0.2496999287977814,246.71536153393907,clean-fid+pixel,0.3932205438613891,246.71536153393907,,-0.0259208511561155,0.8634987473487854,cosine,,,,0.0,0.2496999287977814,3.0,3.0,50.468436843202014,-0.0038504790137986,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_25_ode_heun_42,edm,cosine,25,ode_heun,42,image,64.0,1.35271134134382,176.9237768469388,clean-fid+pixel,0.0027452749200165,176.9237768469388,,-0.0288910865783691,0.524721622467041,cosine,,,,0.0,1.35271134134382,14.0,11.0,13.503511527100189,-0.0001184551871679,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_5_ode_heun_2718,edm,sigmoid,5,ode_heun,2718,image,64.0,0.2497110553085804,357.784439974861,clean-fid+pixel,3.382446765899658,357.784439974861,,-0.1158786416053772,1.561305284500122,sigmoid,,,,0.0,0.2497110553085804,3.0,3.0,54.893352488844336,-0.0005858513432661,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_25_ode_heun_123,edm,sigmoid,25,ode_heun,123,image,64.0,1.3531601568683982,171.2549261584361,clean-fid+pixel,0.0014742605853825,171.2549261584361,,-0.0493701212108135,0.5229166150093079,sigmoid,,,,0.0,1.3531601568683982,14.0,12.0,13.099075500722076,-3.2577603226483735e-05,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
