mode,scheduler,n_steps,scheduler_label,metric,metric_label,direction,mean,ci95,n
ode_heun,entropic,25,Entropic,fid_pixel,Pixel FID,lower,0.016676840744912578,0.005920189274919731,5
ode_heun,entropic,25,Entropic,fid,FID,lower,227.96129577002606,1.4321132317650547,5
ode_heun,entropic,25,Entropic,infer_seconds,Seconds,lower,1.35704374499619,0.007526037632860045,5
ode_heun,entropic_log1p,25,Entropic-log1p,fid_inception,Inception FID,lower,170.78060827768158,3.4209663624504563,5
ode_heun,entropic_log1p,25,Entropic-log1p,fid_pixel,Pixel FID,lower,0.00198803636012592,0.0011955347738272545,5
ode_heun,entropic_log1p,25,Entropic-log1p,fid,FID,lower,170.78060827768158,3.4209663624504563,5
ode_heun,entropic_log1p,25,Entropic-log1p,infer_seconds,Seconds,lower,1.3574870849028229,0.004046178602163405,5
ode_heun,cosine,25,Cosine,fid_inception,Inception FID,lower,170.80074251579993,3.3598597707942206,5
ode_heun,cosine,25,Cosine,fid_pixel,Pixel FID,lower,0.0024539296951843,0.0018928133602526859,5
ode_heun,cosine,25,Cosine,fid,FID,lower,170.80074251579993,3.3598597707942206,5
ode_heun,cosine,25,Cosine,infer_seconds,Seconds,lower,1.3558620043098926,0.007889265786319563,5
ode_heun,sigmoid,25,Sigmoid,fid_inception,Inception FID,lower,172.67661959551566,2.3876000086757765,5
ode_heun,sigmoid,25,Sigmoid,fid_pixel,Pixel FID,lower,0.0057597706560045,0.0037809974632426425,5
ode_heun,sigmoid,25,Sigmoid,fid,FID,lower,172.67661959551566,2.3876000086757765,5
ode_heun,sigmoid,25,Sigmoid,infer_seconds,Seconds,lower,1.3555048080161214,0.006920256386605966,5
ode_heun,power_2,25,Power-2,fid_inception,Inception FID,lower,171.28022809649212,4.063541211505057,5
ode_heun,power_2,25,Power-2,fid_pixel,Pixel FID,lower,0.00594449802301818,0.004013962599026988,5
ode_heun,power_2,25,Power-2,fid,FID,lower,171.28022809649212,4.063541211505057,5
ode_heun,power_2,25,Power-2,infer_seconds,Seconds,lower,1.3577307663857936,0.005228651524024696,5
sde_heun,linear,5,Linear,fid_inception,Inception FID,lower,382.6981679976958,3.2935510301603137,5
sde_heun,linear,5,Linear,fid_pixel,Pixel FID,lower,1.3738829612731933,0.03550995115563558,5
sde_heun,linear,5,Linear,fid,FID,lower,382.6981679976958,3.2935510301603137,5
sde_heun,linear,5,Linear,infer_seconds,Seconds,lower,0.7320413662120699,0.023072068641481654,5
sde_heun,entropic,5,Entropic,fid_inception,Inception FID,lower,492.7745456604802,3.61373014923624,5
sde_heun,entropic,5,Entropic,fid_pixel,Pixel FID,lower,5.682853889465332,0.032714831719277075,5
sde_heun,entropic,5,Entropic,fid,FID,lower,492.7745456604802,3.61373014923624,5
sde_heun,entropic,5,Entropic,infer_seconds,Seconds,lower,0.25889857560396196,0.0009432571499475527,5
sde_heun,entropic_log1p,5,Entropic-log1p,fid_inception,Inception FID,lower,387.651320012883,4.253211182307376,5
sde_heun,entropic_log1p,5,Entropic-log1p,fid_pixel,Pixel FID,lower,0.7576292037963868,0.026063343609221596,5
sde_heun,entropic_log1p,5,Entropic-log1p,fid,FID,lower,387.651320012883,4.253211182307376,5
sde_heun,entropic_log1p,5,Entropic-log1p,infer_seconds,Seconds,lower,0.25907026119530197,0.0016579658786265742,5
sde_heun,cosine,5,Cosine,fid_inception,Inception FID,lower,416.33627508176943,2.0031046418932923,5
sde_heun,cosine,5,Cosine,fid_pixel,Pixel FID,lower,3.4893929958343506,0.03917052998924481,5
sde_heun,cosine,5,Cosine,fid,FID,lower,416.33627508176943,2.0031046418932923,5
sde_heun,cosine,5,Cosine,infer_seconds,Seconds,lower,0.25867588501423594,0.0012002313159308038,5
